frame,Left Arm,Right Arm,Left Leg,Right Leg,Left Shoulder,Right Shoulder,Chest L,Chest R
0,131.38023214905516,117.37160466980033,175.7628667876394,178.9003155092553,63.53507348438674,98.16281394189669,17.068461163843086,17.268694067374128
1,156.94705261468235,90.37542424833684,176.8861336032176,179.16590098785593,27.901449776030603,129.34549207513632,16.997077159589946,17.524163654135005
2,158.1485054980225,91.6585485660832,176.9610154813257,178.80426361388595,27.905610282556793,130.8011596728946,18.249088823811444,19.000302953906996
3,158.46183365827773,91.72441501606271,177.0246898080734,178.7112474589949,27.713504975343426,130.19169832762637,18.262039539408764,19.15213381305485
4,159.69669048604817,91.91931437112125,177.11945066323793,178.63818701924276,27.220204598717647,129.85926295289173,18.482447222589624,19.621110091426523
5,161.46722152252764,92.10359924809494,177.15048784089473,178.58231756623476,27.000195173649683,129.8048116014231,18.507311624467135,19.65531156251599
6,162.38357746904614,91.00090115996016,177.18573528669012,178.6367775098345,26.639887332358573,128.6875669899766,18.41792431347272,19.57673567112938
7,163.41071417778667,90.25517758166684,177.18956576053588,178.69327162493337,26.38974740319608,127.91314327965235,18.46283618989392,19.783895021666755
8,164.1622659101309,90.15880740440248,177.19838559740427,178.65139095391294,25.96466700204404,127.64448170655574,18.53226970793382,19.908118022619302
9,164.65763452104736,89.5140932661733,177.1581680020522,178.71574296469137,25.452700711208536,126.97640195146744,18.46826557261235,19.898192502020095
10,165.4889376895362,88.24131342062192,177.08235058133823,178.73281590584165,24.43886289934933,125.66053752271974,18.38818731639215,19.785460391211103
11,165.50582624416563,87.30090318061649,176.85048934476663,178.64933796478067,23.892814543115787,125.0606884235608,18.41277546689673,19.79533016183468
12,165.95299186974552,87.30227455717504,176.64002442503218,178.6212971912765,23.52016751176266,124.84138545297124,18.430447945087664,19.774325942246886
13,166.546043368267,86.47743737147874,176.34914588801135,178.62770893083453,22.80565270387324,123.17909442385292,18.385676799756524,19.741125380241318
14,166.89832975158492,85.63884719883072,176.31680185115297,178.5943121727838,22.893544745789224,122.69547589927772,18.370190291036362,19.724248759435763
15,166.9380736192901,85.56561952485576,176.20356806425775,178.5922788981517,22.87983393042798,121.8524124810872,18.360418653950585,19.67836427819783
16,166.51194782831593,85.28491945330752,175.83797090879534,178.723270656378,22.87014064688127,121.33558528532053,18.380684305647264,19.661773438180376
17,165.94666027156035,84.05583544135762,175.08945541492835,178.77610804506034,23.248544709216237,119.8392029038874,18.378743644254147,19.630847825225196
18,165.7353630001241,83.63671768665019,174.2883146916641,178.80318019169715,24.022332032658785,118.50514445883698,18.40054979576314,19.63549466232103
19,161.7179248736948,82.33653316827794,173.4870728423841,179.13215135127453,25.64161672929325,116.83285679281256,18.37695260283199,19.666254291713923
20,161.64744882481708,81.44723657983438,172.94753259599233,178.92498691644093,29.028953465078022,114.87073303711408,18.460766378627778,19.731257421843694
21,161.32484319107576,80.47137285036588,172.8875886649661,178.90633497733802,32.20596079494496,113.48496140505358,18.47589464301888,19.733532043203905
22,156.69740755122473,79.36678975205751,173.04571422743504,178.65079787918717,40.55609362558496,112.03098515099714,18.452399135502088,19.59347204323586
23,158.99030170881682,79.87598026854268,173.4507714423784,178.71388807650496,47.97100111051904,111.24236585690143,18.84705339189422,19.566073056485873
24,161.34653505266078,80.30915052807593,173.582043591903,179.4650221237674,52.00548906696799,110.35155158402726,18.957790291445246,19.489178569518966
25,166.91700103119126,79.44610366107982,174.35779063407722,179.35320005741346,59.22797559142879,108.62999203409193,19.096343971970644,19.3997651044265
26,168.7489443331212,79.12377805410544,174.83243436419014,179.291388619763,61.285017363295765,106.8974486053101,19.24093400083949,19.310281049958665
27,169.09478173050022,77.8221486583438,175.04445209768434,179.27943841365288,64.8442407379343,105.02186874657376,19.154651548292893,19.159920662674676
28,169.6371753273141,76.6029439053949,175.10189867690553,178.18053917410725,70.17264609316405,103.3046216105845,19.251860091007305,19.29908988155736
29,167.90064850502404,75.74938227195133,174.18516765338475,177.99536609933116,71.24380651825571,102.15862858596905,19.296708705080984,19.454776281691593
30,166.41609476535837,75.12815734161813,173.37552762518624,178.45682528582904,73.5285892598918,101.15622287001098,19.320018770591066,19.508063485931036
31,165.24150180436553,74.6578295051293,171.58415554311557,178.086888644364,84.32294526940272,100.61004808045278,19.44389865568937,19.507375317972663
32,157.96424396052873,75.4588706866076,169.63693407726353,177.24075533739907,91.98337563507859,100.19881070707102,19.205400670336882,19.26518043988465
33,154.15842845153477,75.88856360261376,168.1954124035947,176.5537686973564,101.38999952197908,99.48844668701429,19.262880008790855,19.33221267771087
34,150.6719968510666,75.96574337429298,165.9768357154877,175.47304996087715,108.93115667678005,98.43925734508622,19.1254543926318,19.349693033320516
35,154.7636718970142,76.77365580162262,166.23930342709542,175.03980642698593,109.04051554261692,98.77134967393812,19.098868995756764,19.058214507661166
36,154.53575067955754,75.99965414908625,166.87154529861914,175.2351919837065,111.73690961073305,97.78482478313629,18.917659349048773,18.810349788634003
37,154.997281585939,74.65685424633817,167.5777585936148,173.85609772020834,108.19721566093496,97.44508233008997,18.637858139433106,18.64464909798524
38,165.69809912967187,74.76011678370969,168.8784446820957,172.92809776011475,103.59077396533057,96.09701424725495,18.453982273750494,18.53547791127963
39,172.5664803025462,75.9253884090398,170.0243586439494,172.9426904058889,99.63110326199234,97.42591101575188,18.460215778141407,18.39674678409109
40,173.90125989222238,93.61194122481847,170.67110627461557,172.47602871788885,94.85408680041881,108.94082014560507,17.872936284333136,18.035309215326382
41,174.5792919788215,101.50311663891368,171.84106899791217,171.70682178005438,92.59387698183576,111.90826978255281,16.441474311163294,16.448220876740532
42,173.26988702324434,104.39822518503985,172.10064411305007,170.83658002782315,88.79663915339141,111.54719109161039,15.39860787902819,15.42530855987311
43,165.60724563277938,99.6942245284806,172.6333430648158,170.96428568205263,80.18975643867303,67.0572415974692,13.722603333737936,13.747831459423509
44,161.06720780626242,98.2782222395695,173.2253232058206,170.01718795830456,77.33698248678122,111.68516559980274,12.782079140903747,12.444013845180791
45,159.06607490855947,101.67315792735906,173.57066719586774,169.66906074142628,73.28879679719758,112.35047288354241,13.210114770909797,12.846005723745805
46,153.28462887966205,107.02265405319264,173.25248130955347,169.72838683791,66.48363040717793,109.20863619764458,14.0359911965815,13.911277587452956
47,153.11881421172959,105.21949526814454,172.4309233528887,169.82454858913948,52.61247677036517,106.02565492707846,14.853769049065951,14.687666691826928
48,151.8653299043012,106.33120016672886,171.49772772487464,171.2780103718667,46.05900831650053,104.25296967494357,15.236901268963686,15.121261095789308
49,144.62751740052317,107.01174912200393,170.52377858649223,171.891930058167,38.92644135268908,97.62426405423184,15.666067373892746,15.209675631544599
50,143.50375024752555,103.73330462787389,169.26086269390476,173.26799373357184,30.526102520860473,92.74266785225672,15.89119255681488,15.329246254889142
51,139.92910740175864,103.20410238523657,168.9764274682395,173.7926228221188,27.90160417628748,91.67374036361981,16.019429556398094,14.997792818765047
52,147.2682678465811,102.46795499703224,168.0499390910289,174.03169468015895,24.297294660523637,88.37481780462029,16.01524855410165,15.238530491236242
53,149.83887846338214,102.53984043972484,168.46986898295225,173.53279427592545,20.996958709922172,86.69144555322619,15.927556460387384,14.779726212277524
54,148.12058893346293,100.62793171909034,168.73314505765632,174.25974842736392,18.49749286397109,85.46817294786167,16.060034751409276,13.464081377031986
55,148.3710021955865,99.55519901079352,169.11066915511654,173.84246328765846,15.676928591222484,82.53840397672039,15.449405170959658,11.548999052709613
56,147.8979011237418,98.6844870981369,170.17179344347767,173.97069386882274,13.567851559956521,83.16264477841077,14.885790565475565,9.905294925630217
