frame,x,y
0,1385.0,592.0
1,1387.5,593.75
2,1390.0,595.5
3,1392.5,597.25
4,1395.0,599.0
5,1395.0,600.0
6,1395.0,601.0
7,1393.909090909091,598.3636363636364
8,1392.8181818181818,595.7272727272727
9,1391.7272727272727,593.0909090909091
10,1390.6363636363637,590.4545454545455
11,1389.5454545454545,587.8181818181819
12,1388.4545454545455,585.1818181818181
13,1387.3636363636363,582.5454545454545
14,1386.2727272727273,579.9090909090909
15,1385.1818181818182,577.2727272727273
16,1384.090909090909,574.6363636363636
17,1383.0,572.0
18,1381.0,568.0
19,1373.0,539.0
20,1366.0,515.0
21,1362.0,503.0
22,1355.0,459.0
23,1354.0,421.6666666666667
24,1353.0,384.3333333333333
25,1352.0,347.0
26,1353.0,318.0
27,1352.0,305.0
28,1353.0,270.0
29,1352.0,250.0
30,1354.0,242.0
31,1354.0,221.0
32,1354.0,210.0
33,1354.0,207.0
34,1354.0,199.0
35,1354.0,198.0
36,1354.0,198.0
37,1354.0,204.0
38,1354.0,213.0
39,1355.0,218.0
40,1354.0,237.0
41,1353.0,254.0
42,1354.0,265.0
43,1353.0,298.0
44,1353.0,324.0
45,1326.0,316.0
46,1161.0,273.0
47,1067.0,249.0
48,1188.0,405.0
49,1309.0,561.0
50,1310.0,563.0
51,1312.0,564.0
52,607.0,172.0
53,518.0,160.0
54,482.0,161.0
55,356.0,163.0
56,375.0,157.0
